ID,医療機関番号,名称,オープンデータ,四国厚生支局,国土数値情報,住所,電話番号,FAX番号,緯度,経度
3811385502530,02-1027-2,瀬戸内海病院,瀬戸内海病院,瀬戸内海病院,瀬戸内海病院,今治市北宝来町2-4-9,0898-23-0655,0898-23-0616,34.06598511,132.993791
3811385502950,02-2811-8,光生病院,医療法人補天会光生病院,医療法人　補天会　光生病院,医療法人補天会光生病院,今治市室屋町3-2-10,0898-22-0468,0898-23-9610,34.0695284,133.0002734
3811385503090,02-2812-6,村上病院,医療法人三省会村上病院,村上病院,村上病院,今治市常盤町5-3-37,0898-22-8833,0898-24-2222,34.06022383,132.9938144
3811385503250,02-2833-2,山内病院,医療法人平成会　山内病院,医療法人　平成会　山内病院,医療法人平成会　山内病院,今治市片山3-1-40,0898-32-3000,0898-32-7836,34.05150762,132.984467
3811385503380,02-2815-9,済生会今治病院,社会福祉法人恩賜財団済生会今治病院,社会福祉法人　恩賜財団　済生会今治病院,社会福祉法人恩賜財団済生会今治病院,今治市喜田村7-1-6,0898-47-2500,0898-48-5096,34.04429628,133.0202971
3811385503410,32-2816-4,波方中央病院,医療法人　厚仁会　波方中央病院,波方中央病院,波方中央病院,今治市波方町樋口甲1683-1,0898-41-5911,0898-41-7502,34.09903094,132.950072
3811385503540,32-1016-2,大三島中央病院,医療法人　良仁会　大三島中央病院,大三島中央病院,大三島中央病院,今治市大三島町宮浦5318-1,0897-82-1111,0897-82-1772,34.24602322,132.9972428
3811385503670,02-1029-8,今治南病院,今治南病院,今治南病院,今治南病院,今治市四村103-1,0898-22-7300,0898-32-8510,34.03363464,132.9846566
3811385503700,02-1041-3,高山内科病院,高山内科病院,高山内科病院,高山内科病院,今治市大正町3-5-8,0898-22-7720,0898-22-7723,34.07053642,132.9966745
3811385503830,02-1802-8,愛媛県立今治病院,愛媛県立今治病院,愛媛県立今治病院,愛媛県立今治病院,今治市石井町4-5-5,0898-32-7111,0898-22-1398,34.08553277,132.9869553
3811385503960,02-2822-5,藤井病院,整形外科藤井病院,整形外科藤井病院,整形外科藤井病院,今治市常盤町5-3-38,0898-24-1000,0898-24-1059,34.06027057,132.9941985
3811385504000,02-1103-1,広瀬病院,広瀬病院,広瀬病院,広瀬病院,今治市喜田村6-5-1,0898-47-0100,0898-47-0345,34.0426413,133.0227167
3811385504130,02-1038-9,羽鳥病院,内科・消化器科羽鳥病院,医療法人　仁明会　内科・消化器科羽鳥病院,内科・消化器科羽鳥病院,今治市南宝来町3-2-3,0898-22-2898,0898-22-2892,34.05851967,133.0022177
3811385504390,02-1130-4,高木眼科病院,医療法人　明和会　高木眼科病院,高木眼科病院,高木眼科病院,今治市北宝来町2-3-12,0898-31-7500,0898-31-9591,34.06562799,132.9945298
3811385504420,02-1060-3,済生会今治第二病院,社会福祉法人恩賜財団済生会今治第二病院,社会福祉法人　恩賜財団　済生会　今治第二病院,社会福祉法人恩賜財団済生会　今治第二病院,今治市北日吉町1-7-43,0898-23-0100,0898-23-0300,34.06353633,132.9886677
3811385504550,02-1062-9,鈴木病院,鈴木病院,鈴木病院,鈴木病院,今治市別宮町2-1-5,0898-23-0500,0898-32-2591,34.0671982,132.996997
3811385504680,02-1083-5,久保病院,消化器科久保病院,消化器科久保病院,消化器科久保病院,今治市内堀1-1-19,0898-41-3233,0898-41-5841,34.10409808,132.9674021
3822385500490,02-1097-5,今井皮膚泌尿器科医院,今井皮膚泌尿器科医院,今井皮膚泌尿器科医院,今井皮膚泌尿器科医院,今治市共栄町2-1-24,0898-22-1041,0898-22-4078,34.06805447,132.9994249
3822385501530,02-1089-2,今治十全医院,今治十全医院,今治十全医院,今治十全医院,今治市南大門町2-4-18,0898-22-1754,0898-22-1762,34.06714193,132.9955295
3822385502380,02-1051-2,近松内科,医療法人松風会近松内科,松風会近松内科,松風会近松内科,今治市大正町3-6-12,0898-23-5156,0898-23-8399,34.06994249,132.9964952
3822385502670,02-1056-1,西信内科医院,西信内科医院,西信内科医院,西信内科医院,今治市米屋町3-1-41,0898-22-5753,0898-31-2949,34.06950518,133.0007068
3822385503000,02-1059-5,波止浜内科・外科,医療法人波止浜内科・外科,波止浜内科・外科,波止浜内科・外科,今治市地堀5-2-1,0898-41-9168,0898-41-9358,34.1036849,132.962487
3822385503390,02-2832-4,広川眼科診療所,医療法人　仁助会　広川眼科診療所,広川眼科診療所,広川眼科診療所,今治市松本町3-3-1,0898-22-1161,0898-22-1164,34.06227865,133.0025
3822385503840,02-1043-9,ムラシマ耳鼻咽喉科,医療法人ムラシマ耳鼻咽喉科,ムラシマ耳鼻咽喉科,ムラシマ耳鼻咽喉科,今治市松本町1-7-14,0898-22-5563,0898-32-9223,34.06422743,133.0011892
3822385503970,02-2178-2,森耳鼻咽喉科医院,森耳鼻咽喉科医院,森耳鼻咽喉科,森耳鼻咽喉科医院,今治市松本町3-2-24,0898-33-1962,0898-33-1965,34.06219618,133.0027322
3822385504560,02-1075-1,竹内外科胃腸科,医療法人　竹内外科胃腸科,竹内外科胃腸科,竹内外科胃腸科,今治市立花町3-6-36,0898-22-0132,0898-22-0160,34.049685,132.998159
3822385504720,02-2838-1,まつもとクリニック,医療法人　まつもとクリニック,まつもとクリニック,まつまとクリニック,今治市大正町3-6-10,0898-22-7353,0898-22-9824,34.07014583,132.9959753
3822385505310,02-2836-5,井出整形外科医院,医療法人井出整形外科医院,井出整形外科医院,井出整形外科医院,今治市片山3-3-46,0898-23-5924,0898-23-5925,34.05159288,132.9861806
3822385506610,02-1044-7,上原内科,医療法人　嶋波会　上原内科,上原内科,上原内科,今治市北鳥生町3-4-8,0898-22-2202,0898-22-2309,34.05294379,133.007831
3822385507200,02-2837-3,徳丸皮膚科,医療法人社団徳丸皮膚科,徳丸皮膚科,徳丸皮膚科,今治市北高下町3-4-58,0898-32-7377,0898-32-7389,34.05141922,133.010173
3822385507590,02-2826-6,片木脳神経外科,片木脳神経外科,片木脳神経外科,片木脳神経外科,今治市別名274,0898-22-1102,0898-22-6763,34.04252949,132.9763195
3822385508630,32-2821-4,片山医院,医療法人片山医院,片山医院,片山医院,今治市吉海町幸新田71,0897-84-2620,0897-84-4071,34.14698216,133.0420649
3822385509350,32-2817-2,喜多嶋診療所,医療法人　喜多嶋診療所,医療法人　喜多嶋診療所,喜多嶋診療所,今治市伯方町木浦甲3449,0897-72-0250,0897-72-3150,34.20386539,133.1128824
3822385511180,02-1072-8,岡村診療所,岡村診療所,岡村診療所,岡村診療所,今治市関前岡村甲18-2,0897-88-2118,0897-88-2118,34.185108,132.885159
3822385511210,02-1073-6,大下出張診療所,大下出張診療所,大下出張診療所,大下出張診療所,今治市関前大下甲65-3,0897-88-2905,,34.18867305,132.9229882
3822385511470,02-1074-4,小大下出張診療所,小大下出張診療所,小大下出張診療所,小大下出張診療所,今治市関前小大下甲2115-1,0897-88-2900,,34.1903624,132.89868
3822385511630,02-2830-8,小澤外科循環器科,小澤外科循環器科医院,小澤外科循環器科医院,小澤外科循環器科医院,今治市馬越町4-3-10,0898-32-1520,0898-32-7837,34.05320747,132.9834711
3822385511920,02-1010-8,桜井眼科,医療法人　順真会　桜井眼科,桜井眼科,桜井眼科,今治市桜井2-6-23,0898-47-1572,0898-47-1615,34.02075087,133.036868
3822385512510,02-1022-3,村上耳鼻咽喉科,村上耳鼻咽喉科,村上耳鼻咽喉科,村上耳鼻咽喉科,今治市高市甲267-1,0898-48-1199,0898-48-1934,34.02754774,133.0081055
3822385512770,02-1104-9,しのざき整形外科,医療法人しのざき整形外科,しのざき整形外科,しのざき整形外科,今治市伯方町伊方甲1022-1,0897-73-1221,0897-73-1531,34.2208865,133.0674501
3822385512800,02-1045-4,吉正整形外科,医療法人　吉正整形外科,吉正整形外科,吉正整形外科,今治市別宮町7-2-60,0898-33-3400,0898-33-3885,34.0755421,132.9908821
3822385513100,02-2198-0,銀座眼科,銀座眼科,銀座眼科,銀座眼科,今治市常盤町3-6-6,0898-33-4636,0898-33-4636,34.0660829,132.9999208
3822385513230,32-1013-9,金藤内科,金藤内科,金藤内科,金藤内科,今治市玉川町大野甲67-1,0898-55-2217,0898-55-4660,34.02265431,132.9435301
3822385513520,02-2202-0,三宅川医院,三宅川医院,三宅川医院,三宅川医院,今治市町谷甲17-2,0898-48-3850,,34.019716,133.005737
3822385513650,02-1004-1,かとう内科,医療法人　かとう内科,かとう内科,かとう内科,今治市立花町1-10-5,0898-23-2310,0898-34-7778,34.05296432,132.9972393
3822385513940,02-1014-0,あおい小児科,あおい小児科,あおい小児科,あおい小児科,今治市東村5-9-37,0898-47-0033,0898-47-0036,34.0383214,133.0213911
3822385514080,32-1011-3,林医院,林医院,林医院,林医院,今治市菊間町浜414,0898-54-2006,,34.03667612,132.8424033
3822385514240,32-1020-4,梅の木中医学クリニック,梅の木中医学クリニック,梅の木中医学クリニック,梅の木中医学クリニック,今治市玉川町小鴨部甲35-1,0898-55-2820,0898-55-2948,34.029522,132.970277
3822385514370,32-1019-6,大西クリニック,医療法人大西クリニック,大西クリニック,大西クリニック,今治市大西町紺原甲827-1,0898-53-2282,0898-53-5082,34.06697483,132.9383583
3822385514790,02-1030-6,村上整形外科,医療法人　村上整形外科,医療法人　村上整形外科,村上整形外科,今治市松木28-7,0898-47-2515,0898-47-2555,34.03132137,133.0054993
3822385515380,02-1017-3,皮フ科鈴木クリニック,皮フ科鈴木クリニック,皮フ科鈴木クリニック,皮フ科鈴木クリニック,今治市南大門町2-2-7,0898-25-1200,0898-25-1201,34.0665468,132.996187
3822385515410,02-1018-1,鈴木耳鼻咽喉科,鈴木耳鼻咽喉科,鈴木耳鼻咽喉科,鈴木耳鼻咽喉科,今治市南大門町2-2-3,0898-23-0532,0898-23-8510,34.0665468,132.996187
3822385515700,02-1039-7,正岡眼科,医療法人　正岡眼科,医療法人　正岡眼科,正岡眼科,今治市常盤町5-3-9,0898-25-8000,0898-25-8010,34.06014431,132.9949382
3822385516260,02-1034-8,相原内科クリニック,相原内科クリニック,相原内科クリニック,相原内科クリニック,今治市本町2-1-27,0898-25-1311,0898-25-1312,34.06903335,133.0020303
3822385516420,02-1085-0,平林胃腸クリニック,平林胃腸クリニック,平林胃腸クリニック,平林胃腸クリニック,今治市河南町2-6-20,0898-31-5100,0898-31-5108,34.04801649,132.9921636
3822385516680,32-1012-1,矢野眼科,矢野眼科,矢野眼科,矢野眼科,今治市吉海町八幡218-1,0897-84-3400,0897-84-3400,34.14453559,133.0433887
3822385516840,32-1022-0,あおのクリニック,医療法人　あおのクリニック,あおのクリニック,あおのクリニック,今治市菊間町浜1001,0898-54-5115,0898-36-3113,34.03747179,132.845548
3822385517140,32-1018-8,羽原小児科,羽原小児科,羽原小児科,羽原小児科,今治市大西町宮脇463,0898-53-5116,0898-53-6301,34.06110703,132.9233677
3822385517270,02-1054-6,長野整形外科,医療法人　長野整形外科,医療法人　長野整形外科,長野整形外科,今治市高部甲532-1,0898-41-3111,0898-41-3113,34.09461636,132.9751206
3822385517300,02-1048-8,つばさ発達クリニック,つばさ発達クリニック,つばさ発達クリニック,つばさ発達クリニック,今治市南日吉町3-3-51,0898-34-5991,0898-34-5991,34.05414308,132.9900656
3822385517560,02-1058-7,あゆみクリニック,あゆみクリニック,あゆみクリニック,あゆみクリニック,今治市高部甲526-1,0898-36-5333,0898-36-5335,34.09432319,132.9750771
3822385517720,32-1021-2,かもいけ診療所,かもいけ診療所,かもいけ診療所,かもいけ診療所,今治市大西町九王甲2019-16,0898-53-0881,0898-53-0885,34.07516875,132.9285426
3822385517850,32-1023-8,はかた外科胃腸科,はかた外科胃腸科,はかた外科胃腸科,はかた外科胃腸科,今治市伯方町叶浦甲1667-25,0897-72-1711,0897-72-2081,34.20575632,133.0743501
3822385518150,02-1061-1,秋山整形外科・歯科,秋山整形外科・歯科,秋山整形外科・歯科,秋山整形外科・歯科,今治市桜井2-3-1,0898-36-6661,0898-36-6662,34.02232442,133.038273
3822385518280,02-1063-7,久保皮膚科クリニック,医療法人　久保皮膚科クリニック,久保皮膚科クリニック,久保皮膚科クリニック,今治市馬越町3-3-38,0898-34-1211,0898-34-1235,34.05765479,132.9793479
3822385518310,32-1030-3,井門クリニック,井門クリニック,井門クリニック,井門クリニック,今治市朝倉下甲1146-1,0898-56-1155,0898-56-1165,34.00229554,133.0128563
3822385518440,32-1026-1,朝倉内科循環器科クリニック,朝倉内科循環器科クリニック,朝倉内科循環器科クリニック,朝倉内科循環器科クリニック,今治市朝倉下甲452-1,0898-56-2818,0898-56-3779,33.99762587,133.0197515
3822385518570,02-1064-5,井戸内科・消化器科,井戸内科・消化器科,井戸内科・消化器科,井戸内科・消化器科,今治市蔵敷町1-15-6,0898-34-7556,0898-34-7558,34.05769063,132.9992683
3822385518990,32-1025-3,矢野眼科大三島分院,矢野眼科大三島分院,矢野眼科大三島分院,矢野眼科大三島分院,今治市大三島町宮浦5161,0897-82-1650,0897-82-1650,34.24740707,133.0005373
3822385519580,02-1070-2,アキクリニック,アキクリニック,アキクリニック,アキクリニック,今治市共栄町2-2-1 しまなみビルヂング2F,0898-32-4886,0898-32-4887,34.06772678,132.9998665
3822385519610,02-1129-6,宮窪診療所,宮窪診療所,宮窪診療所,宮窪診療所,今治市宮窪町宮窪5250-1,0897-86-3331,0897-86-3331,34.17499566,133.0750228
3822385519740,02-1086-8,中川こころのクリニック,中川こころのクリニック,中川こころのクリニック,中川こころのクリニック,今治市北日吉町1-2-11,0898-36-1122,0898-32-3005,34.0642275,132.9915544
3822385519900,02-1078-5,たくぼ眼科,医療法人たくぼ眼科,たくぼ眼科,医療法人たくぼ眼科,今治市南宝来町3-2-9,0898-25-1230,0898-25-8881,34.05857546,133.0015699
3822385520140,02-1080-1,さとう内科クリニック,医療法人さとう内科クリニック,さとう内科クリニック,さとう内科クリニック,今治市大新田町3-4-8,0898-33-7233,0898-33-7288,34.08045681,132.9919206
3822385520300,02-1081-9,真部クリニック,医療法人彩水会真部クリニック,医療法人彩水会　真部クリニック,医療法人彩水会　真部クリニック,今治市矢田甲7-1,0898-22-0907,0898-33-4529,34.06051107,132.9729601
3822385520430,02-1096-7,丹こどもクリニック,丹こどもクリニック,丹こどもクリニック,丹こどもクリニック,今治市末広町3-4-12,0898-23-3200,0898-23-3200,34.06152767,133.0052929
3822385520560,02-1100-7,かとう耳鼻咽喉科,医療法人かとう耳鼻咽喉科,医療法人　かとう耳鼻咽喉科,医療法人かとう耳鼻咽喉科,今治市常盤町7-1-10,0898-33-7033,0898-33-7088,34.05662496,132.9908541
3822385520720,02-1067-8,みぶ小児科,みぶ小児科,みぶ小児科,みぶ小児科,今治市北宝来町3-1-27,0898-23-7525,0898-22-6912,34.06577908,132.9927279
3822385521440,02-1092-6,武田脳神経外科,武田脳神経外科,武田脳神経外科,武田脳神経外科,今治市南高下町3-2-10,0898-25-6417,0898-25-6427,34.0496278,133.0148045
3822385521600,02-1110-6,かいはらクリニック,医療法人かいはらクリニック,かいはらクリニック,かいはらクリニック,今治市南高下町3-2-8,0898-33-7770,0898-33-7771,34.0496704,133.0146102
3822385522030,02-1101-5,くろみつクリニック,医療法人くろみつクリニック,くろみつクリニック,医療法人くろみつクリニック,今治市郷新屋敷町3-4-11,0898-32-1101,0898-32-1130,34.0412708,133.0017396
3822385522160,02-1105-6,まつうらバンビクリニック,医療法人まつうらバンビクリニック,医療法人　まつうらバンビクリニック,まつうらバンビクリニック,今治市北宝来町3-3-34,0898-22-0573,0898-22-0573,34.0669473,132.992247
3822388552199,02-1099-1,よりい眼科,よりい眼科,よりい眼科,よりい眼科,今治市小泉4-11-9,0898-22-4411,0898-22-3711,34.046729,132.979471
3822388633102,02-1106-4,ｉクリニック内科・呼吸器内科,ｉクリニック内科・呼吸器内科,ｉクリニック内科・呼吸器内科,ｉクリニック内科・呼吸器内科,今治市郷新屋敷町3-1-39,0898-22-1929,0898-25-1929,34.0417815,133.0021609
3822388633113,02-1114-8,Ｄクリニック,Ｄクリニック,Ｄクリニック,Ｄクリニック,今治市南大門町2-1-21,0898-22-5511,0898-22-5512,34.06593191,132.9957078
3822388633156,02-1113-0,丹皮ふ科,丹皮ふ科,丹皮ふ科,丹皮ふ科,今治市末広町3-4-10,0898-33-4112,0898-25-0622,34.06121954,133.0051318
3822388633165,02-1115-5,古国分診療所,古国分診療所,古国分診療所,古国分診療所,今治市古国分1-13-22,0898-52-7645,0898-52-7646,34.02711215,133.0397846
3822388633204,02-1116-3,今治セントラルクリニック,今治セントラルクリニック,今治セントラルクリニック,今治セントラルクリニック,今治市松本町2-6-6,0898-22-5251,0898-31-9599,34.06307116,133.0028347
3822388633205,02-1117-1,井出内科,井出内科,井出内科,井出内科,今治市常盤町7-3-6,0898-32-2866,0898-32-5833,34.05565011,132.9878662
3822388633218,02-1118-9,おちクリニック内科・循環器内科,おちクリニック　内科・循環器内科,おちクリニック　内科・循環器内科,おちクリノック　内科・循環器内科,今治市馬越町1-2-28,0898-34-5055,0898-34-5033,34.0549164,132.9832771
3822388633220,02-1119-7,いまおか内科クリニック,いまおか内科クリニック,いまおか内科クリニック,いまおか内科クリニック,今治市北高下町2-1-48,0898-22-0660,0898-22-2655,34.052555,133.01127
3822388633223,02-1120-5,Gクリニック,Ｇクリニック,Ｇクリニック,Gクリニック,今治市中日吉町2-3-25,0898-33-0024,0898-33-0064,34.05839779,132.9890879
3822388633229,02-1121-3,広瀬クリニック,広瀬クリニック,広瀬クリニック,広瀬クリニック,今治市拝志3-1,0898-47-3111,0898-47-3366,34.0430494,133.0216598
3822388633233,02-1122-1,ひねのクリニック,医療法人真尚会ひねのクリニック,ひねのクリニック,ひねのクリニック,今治市馬越町4-4-1,0898-32-8686,0898-32-8611,34.05484486,132.9824199
3822388633242,,コトハ今治ＰＶＰクリニック,コトハ今治ＰＶＰクリニック,,コトハ今治ＰＶＰクリニック,今治市馬越町3-3-30,0898-39-3817,,34.057744,132.980058
3822388633262,02-1124-7,藤田クリニック,藤田クリニック,藤田クリニック,藤田医院,今治市桜井2-5-50,0898-47-1131,0898-35-5118,34.020474,133.037667
3822388633267,02-1125-4,ひまわり眼科,ひまわり眼科,ひまわり眼科,ひまわり眼科,今治市にぎわい広場1-1 イオンモール今治新都市2F,0898-35-4255,0898-35-4255,34.04391894,132.9622408
3822388633277,02-1126-2,Ｕクリニック,Ｕクリニック,Ｕクリニック,Ｕクリニック,今治市南大門町1-6-18-2F,0898-52-8811,0898-52-8848,34.0658,132.996294
3822388633285,02-1127-0,有津むらかみクリニック,医療法人　有津むらかみクリニック,有津むらかみクリニック,有津むらかみクリニック,今治市伯方町有津甲2331,0897-72-3200,0897-72-3211,34.2025618,133.0916123
3822388633291,02-1128-8,斎藤クリニック,斎藤クリニック,斎藤クリニック,斎藤クリニック,今治市吉海町仁江16-2,0897-84-4333,0897-84-4333,34.1486993,133.0429993
