,date,date_week,type,medical,name,address,tel,time
26,2024-04-07,2024年4月7日 日曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,08:30～翌日08:30
27,2024-04-07,2024年4月7日 日曜日,小児科,小児科,県立今治病院,今治市石井町４－５－５,0898-32-7111,09:00～17:00
28,2024-04-07,2024年4月7日 日曜日,島しょ部,指定なし,片山医院,今治市吉海町幸新田７１,0897-84-2620,09:00～17:00
29,2024-04-08,2024年4月8日 月曜日,救急,指定なし,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,08:30～翌日08:30
30,2024-04-09,2024年4月9日 火曜日,救急,指定なし,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,08:30～翌日08:30
31,2024-04-10,2024年4月10日 水曜日,救急,指定なし,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,08:30～翌日08:30
32,2024-04-11,2024年4月11日 木曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～翌日08:30
33,2024-04-12,2024年4月12日 金曜日,救急,指定なし,県立今治病院,今治市石井町４－５－５,0898-32-7111,08:30～翌日08:30
34,2024-04-13,2024年4月13日 土曜日,救急,指定なし,木原病院,今治市別宮町３－７－８,0898-23-0634,08:30～17:30
35,2024-04-13,2024年4月13日 土曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,17:30～翌日08:30
36,2024-04-14,2024年4月14日 日曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,08:30～翌日08:30
37,2024-04-14,2024年4月14日 日曜日,内科,内科,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,09:00～17:30
38,2024-04-14,2024年4月14日 日曜日,小児科,小児科,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,09:00～17:00
39,2024-04-14,2024年4月14日 日曜日,島しょ部,指定なし,はかた外科,今治市伯方町叶浦甲１６６７－２５,0897-72-1711,09:00～17:00
40,2024-04-15,2024年4月15日 月曜日,救急,指定なし,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,08:30～翌日08:30
41,2024-04-16,2024年4月16日 火曜日,救急,指定なし,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,08:30～翌日08:30
42,2024-04-17,2024年4月17日 水曜日,救急,指定なし,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,08:30～翌日08:30
43,2024-04-18,2024年4月18日 木曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～翌日08:30
44,2024-04-19,2024年4月19日 金曜日,救急,指定なし,木原病院,今治市別宮町３－７－８,0898-23-0634,08:30～翌日08:30
45,2024-04-20,2024年4月20日 土曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,08:30～翌日08:30
